date,dataset,mode,final,macro_f1,defect_f1,e2e
2026-09-20,seed42,rules,0.9621,0.968,0.967,0.9565
2026-09-20,seed42,rules+llm,0.9711,0.9982,0.967,0.9565
2026-09-20,seed101,rules,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed101,rules+llm,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed202,rules,0.9807,0.9356,1.0,1.0
2026-09-20,seed202,rules+llm,0.9975,0.9915,1.0,1.0
2026-09-20,seed303,rules,0.9903,0.9675,1.0,1.0
2026-09-20,seed303,rules+llm,1.0,1.0,1.0,1.0
2026-09-20,seed42,rules,0.9621,0.968,0.967,0.9565
2026-09-20,seed42,rules+llm,0.9711,0.9982,0.967,0.9565
2026-09-20,seed101,rules,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed101,rules+llm,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed202,rules,0.9807,0.9356,1.0,1.0
2026-09-20,seed202,rules+llm,0.9975,0.9915,1.0,1.0
2026-09-20,seed303,rules,0.9903,0.9675,1.0,1.0
2026-09-20,seed303,rules+llm,1.0,1.0,1.0,1.0
2026-09-20,seed42,rules,0.9621,0.968,0.967,0.9565
2026-09-20,seed42,rules+llm,0.9711,0.9982,0.967,0.9565
2026-09-20,seed101,rules,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed101,rules+llm,0.9579,0.9957,0.9811,0.9259
2026-09-20,seed202,rules,0.9807,0.9356,1.0,1.0
2026-09-20,seed202,rules+llm,0.9975,0.9915,1.0,1.0
2026-09-20,seed303,rules,0.9903,0.9675,1.0,1.0
2026-09-20,seed303,rules+llm,1.0,1.0,1.0,1.0
2026-09-20,seed42,rules,0.9642,0.968,0.9778,0.9565
2026-09-20,seed42,rules+llm,0.9733,0.9982,0.9778,0.9565
2026-09-20,seed1337,rules,0.9598,0.982,0.9703,0.9423
2026-09-20,seed1337,rules+llm,0.9636,0.9947,0.9703,0.9423
2026-09-20,seed2468,rules,0.9524,0.9725,0.9663,0.9348
2026-09-20,seed2468,rules+llm,0.9601,0.9982,0.9663,0.9348
2026-09-20,seed3691,rules,0.9421,0.9507,0.963,0.9286
2026-09-20,seed3691,rules+llm,0.9553,0.9947,0.963,0.9286
