date,dataset,mode,final,macro_f1,defect_f1,e2e
2026-09-20,seed42,rules,0.9904,0.968,1.0,1.0
2026-09-20,seed42,rules+llm,0.9995,0.9982,1.0,1.0
2026-09-20,seed7001,rules,0.9917,0.9725,1.0,1.0
2026-09-20,seed7001,rules+llm,0.9995,0.9982,1.0,1.0
2026-09-20,seed7002,rules,0.9912,0.9707,1.0,1.0
2026-09-20,seed7002,rules+llm,0.9989,0.9965,1.0,1.0
2026-09-20,seed7003,rules,0.9866,0.9554,1.0,1.0
2026-09-20,seed7003,rules+llm,0.9984,0.9947,1.0,1.0
2026-09-20,seed7004,rules,0.9977,0.9923,1.0,1.0
2026-09-20,seed7004,rules+llm,0.9989,0.9965,1.0,1.0
2026-09-20,seed7005,rules,0.9917,0.9725,1.0,1.0
2026-09-20,seed7005,rules+llm,0.9995,0.9982,1.0,1.0
